"visit_date","category","gender","counts","sales","sales_per_counts"
202006,커피/음료,남성,79768,670223486,8402.159838531743
202006,커피/음료,여성,82108,703421576,8567.028499050031
202006,한식,남성,429298,16194239838,37722.6072285452
202006,한식,여성,256946,8882555652,34569.73703424066
202007,간이주점,남성,5677,1011636590,178199.15272150785
202007,간이주점,여성,790,124750420,157911.92405063292
202007,양식,남성,91390,2002325370,21909.67687930846
202007,양식,여성,107077,2077266065,19399.740980789524
202007,유흥주점,남성,8762,1892848128,216029.23168226433
202007,유흥주점,여성,1982,230677520,116386.23612512613
202007,일식/수산물,남성,24385,1530776314,62775.32556899734
202007,일식/수산물,여성,16904,867537580,51321.4375295788
202007,제과/제빵/떡/케익,남성,47102,635333203,13488.454906373403
202007,제과/제빵/떡/케익,여성,64246,826464530,12864.06204277309
202007,중식,남성,32567,832659100,25567.57146805048
202007,중식,여성,17398,451743050,25965.228761926657
202007,커피/음료,남성,80252,702477424,8753.394606987988
202007,커피/음료,여성,85328,766427702,8982.13601631352
202007,한식,남성,447367,17218116177,38487.67606238279
202007,한식,여성,284752,9975878663,35033.5683787998
202008,간이주점,남성,5536,983994600,177744.68930635837
202008,간이주점,여성,768,119535690,155645.4296875
202008,양식,남성,105505,2349172325,22265.98099616132
202008,양식,여성,118403,2364532263,19970.205678910163
202008,유흥주점,남성,8201,1677597450,204560.10852335082
202008,유흥주점,여성,1947,216151510,111017.72470467386
202008,일식/수산물,남성,26836,1796626326,66948.36510657326
202008,일식/수산물,여성,18403,1018656904,55352.76335380101
202008,제과/제빵/떡/케익,남성,49240,666590435,13537.579914703492
202008,제과/제빵/떡/케익,여성,65220,846836861,12984.31249616682
202008,중식,남성,35580,947792391,26638.347133220912
202008,중식,여성,19587,531076823,27113.739878490836
202008,커피/음료,남성,92497,829242859,8965.078424165107
