"연월","중분류업종명","소분류업종명","성별","이용자수","이용건수","이용금액"
"201902","한식","돌솥/비빔밥전문점","남성","8058","8099","258600919"
"201902","한식","돌솥/비빔밥전문점","여성","6311","6540","193510739"
"201902","한식","두부요리전문","남성","3527","3527","71216638"
"201902","한식","두부요리전문","여성","2467","2513","42922645"
"201902","한식","버섯전문점","남성","481","481","20185267"
"201902","한식","버섯전문점","여성","403","403","20496207"
"201902","한식","보리밥전문","남성","1401","1401","43894800"
"201902","한식","보리밥전문","여성","1400","1400","35382063"
"201902","한식","부대찌개/섞어찌개","남성","15044","15083","442388926"
"201902","한식","부대찌개/섞어찌개","여성","7339","7377","187661254"
"201902","한식","설렁탕집","남성","16895","17005","464177489"
"201902","한식","설렁탕집","여성","9240","9372","255030619"
"201902","한식","순두부전문","남성","21406","21450","482830770"
"201902","한식","순두부전문","여성","13442","13530","295151654"
"201902","한식","쌈밥전문","남성","304","304","12830127"
"201902","한식","쌈밥전문","여성","304","304","7750753"
"201902","한식","일반한식/백반","남성","931843","958303","46049790053"
"201902","한식","일반한식/백반","여성","681292","705942","29554957242"
"201902","한식","재첩국전문","남성","212","212","6640500"
"201902","한식","재첩국전문","여성","239","239","6170250"
"201902","한식","추어탕전문","남성","4419","4419","108485383"
"201902","한식","추어탕전문","여성","2853","2922","90802638"
"201902","한식","콩나물국밥","남성","10086","10170","169275787"
"201902","한식","콩나물국밥","여성","5979","6013","94965065"
"201902","한식","파전전문","남성","1274","1274","47902065"
"201902","한식","파전전문","여성","881","881","45474278"
"201902","한식","한정식전문","남성","1960","1977","134417712"
"201902","한식","한정식전문","여성","1396","1430","68262480"
"201902","한식","해장국/감자탕","남성","166341","167254","4239423258"
"201902","한식","해장국/감자탕","여성","87615","88146","2348023728"
"201902","한식","황태전문","남성","1219","1219","30610041"
"201902","한식","황태전문","여성","966","966","22697245"
"201903","간이주점","꼬치구이전문점","남성","27468","27797","1295622619"
"201903","간이주점","꼬치구이전문점","여성","13235","13449","571613007"
"201903","간이주점","민속주점","남성","3744","3816","178323287"
"201903","간이주점","민속주점","여성","2256","2256","94768342"
"201903","간이주점","소주방/포장마차","남성","25291","25813","1138536950"
"201903","간이주점","소주방/포장마차","여성","13555","13748","641128112"
"201903","간이주점","이자까야","남성","5108","5169","296852959"
"201903","간이주점","이자까야","여성","2971","3093","178179915"
"201903","간이주점","호프/맥주","남성","98356","101754","5908762006"
"201903","간이주점","호프/맥주","여성","57286","59451","2311056493"
"201903","고기요리","갈매기살","남성","2811","2828","206496204"
